,id,score,response,cand,question,knowledge_ans,knowledge,label
159,74,0.0,wow that ' s a lot of karate schools . they started appearing in the us and europe .,europe,Karate schools started appearing in the us and what other country?,[CLS],"Karate schools began appearing across the world, catering to those with casual interest as well as those seeking a deeper study of the art.",1
160,74,0.0,wow that ' s a lot of karate schools . they started appearing in the us and europe .,karate schools,What type of schools started appearing in the us and europe?,[CLS],"Karate schools began appearing across the world, catering to those with casual interest as well as those seeking a deeper study of the art.",1
161,74,0.0,wow that ' s a lot of karate schools . they started appearing in the us and europe .,the us,In what country did karate schools start appearing?,[CLS],"Karate schools began appearing across the world, catering to those with casual interest as well as those seeking a deeper study of the art.",1
162,75,0.0,"they are very similar to a llama , and often confuse them .",a llama,What are llamas very similar to?,[CLS],"Alpacas are similar to llamas, and are often confused with them.",1
163,76,-1.0,that ' s good to hear . i ' ve heard that nutrition is a big part of their popularity .,NO_Q,NO_Q,NO_Q,"Due to the popularity of both commercial and homemade dog foods, nutrition is also a heavily studied subject.",1
164,77,0.6666666666666666,the first championship was held in 1935 in fiba .,first,What championship was held in 1935?,the first championships,"The first championships was held three years after the establishment of FIBA, in 1935.",1
165,77,1.0,the first championship was held in 1935 in fiba .,1935,When was the first fiba championship held?,1935,"The first championships was held three years after the establishment of FIBA, in 1935.",1
166,77,0.0,the first championship was held in 1935 in fiba .,fiba,In what sport was the first championship held?,[CLS],"The first championships was held three years after the establishment of FIBA, in 1935.",1
167,77,0.5,the first championship was held in 1935 in fiba .,the first championship,What was held in 1935 in fiba?,the first championships,"The first championships was held three years after the establishment of FIBA, in 1935.",1
168,78,-1.0,"i ' m not sure , but i do know that they can be seen in close darkness .",NO_Q,NO_Q,NO_Q,They can see in near darkness.,1
169,79,1.0,"there are five boroughs of manhattan , brooklyn , manhattan",five,How many boroughs are there?,five,"The five boroughs – Brooklyn, Queens, Manhattan, The Bronx, and Staten Island – were consolidated into a single city in 1898.",1
170,79,0.0,"there are five boroughs of manhattan , brooklyn , manhattan",manhattan,"Along with brooklyn and manhattan, what borough is comprised of five?",queens,"The five boroughs – Brooklyn, Queens, Manhattan, The Bronx, and Staten Island – were consolidated into a single city in 1898.",1
171,79,0.0,"there are five boroughs of manhattan , brooklyn , manhattan",brooklyn,What is one of the boroughs of manhattan?,[CLS],"The five boroughs – Brooklyn, Queens, Manhattan, The Bronx, and Staten Island – were consolidated into a single city in 1898.",1
172,79,0.0,"there are five boroughs of manhattan , brooklyn , manhattan",manhattan,"Along with brooklyn and manhattan, what borough is comprised of five?",queens,"The five boroughs – Brooklyn, Queens, Manhattan, The Bronx, and Staten Island – were consolidated into a single city in 1898.",1
173,80,0.3333333333333333,they moved to memphis in the 2000 - 01 season .,the 2000 - 01 season,When did they move to memphis?,following the 2000–01 season,"Following the 2000–01 season, the team relocated to Memphis, Tennessee, United States, and are known as the Memphis Grizzlies.",1
174,80,0.0,they moved to memphis in the 2000 - 01 season .,they,Who moved to memphis in the 2000 - 01 season?,[CLS],"Following the 2000–01 season, the team relocated to Memphis, Tennessee, United States, and are known as the Memphis Grizzlies.",1
175,80,0.0,they moved to memphis in the 2000 - 01 season .,memphis,Where did they move to in the 2000 - 01 season?,[CLS],"Following the 2000–01 season, the team relocated to Memphis, Tennessee, United States, and are known as the Memphis Grizzlies.",1
176,81,0.0,"yeah , they achieved success with their first album release .",success,What did the band achieve with their first album?,[CLS],"The band achieved commercial success with the release of five studio albums, three of which debuted at number one on the ""Billboard"" 200.",1
177,81,0.22222222222222224,"yeah , they achieved success with their first album release .",their first album release,What did they achieve success with?,the release of five studio albums,"The band achieved commercial success with the release of five studio albums, three of which debuted at number one on the ""Billboard"" 200.",1
178,82,0.0,yes it is a tropical island . it has a long stretch of beach and dunes .,a tropical island,Is it a tropical island or not?,[CLS],"Long stretches of beach, sand dunes, marshes, and maritime forests create a unique environment where wind and waves shape the topography.",1
179,82,1.0,yes it is a tropical island . it has a long stretch of beach and dunes .,beach,"Along with dunes, what kind of stretch of land does the island have?",beach,"Long stretches of beach, sand dunes, marshes, and maritime forests create a unique environment where wind and waves shape the topography.",1
180,82,0.6666666666666666,yes it is a tropical island . it has a long stretch of beach and dunes .,dunes,"Along with a long stretch of beach, what natural feature does the island have?",sand dunes,"Long stretches of beach, sand dunes, marshes, and maritime forests create a unique environment where wind and waves shape the topography.",1
181,83,0.0,ethical vegans are those who don ' t follow the ethical diet,ethical vegans,What are those who don't follow the ethical diet?,[CLS],"The term ""ethical vegan"" is often applied to those who not only follow a vegan diet but extend the philosophy into other areas of their lives, and oppose the use of animals for any purpose.",1
182,83,0.0,ethical vegans are those who don ' t follow the ethical diet,the ethical diet,What do ethical vegans not follow?,[CLS],"The term ""ethical vegan"" is often applied to those who not only follow a vegan diet but extend the philosophy into other areas of their lives, and oppose the use of animals for any purpose.",1
183,84,0.0,i think oceanic dolphins are the biggest known dolphins .,oceanic dolphins,What are the biggest known dolphins?,killer whale,"Oceanic dolphins range in size from the -long and Maui's dolphin to the and killer whale, the largest known dolphin.",1
184,84,0.0,i think oceanic dolphins are the biggest known dolphins .,the biggest known dolphins,What are oceanic dolphins?,,"Oceanic dolphins range in size from the -long and Maui's dolphin to the and killer whale, the largest known dolphin.",1
185,85,1.0,"i ' m not sure , but they were originally from england .",england,Where were they originally from?,england,Frenchies were the result in the 1800s of a cross between bulldog ancestors imported from England and local ratters in Paris (France).,1
186,86,0.0,"i ' m not sure , but astronomically sunrise occurs only once in a while .",a while,astronomically sunrise occurs once in what time?,[CLS],"Astronomically, sunrise occurs for only an instant: the moment at which the upper limb of the Sun appears tangent to the horizon.",1
187,87,0.0,it ' s a quarter step or half tone .,it,What is a quarter step or half tone?,[CLS],"A semitone, also called a half step or a half tone, is the smallest musical interval commonly used in Western tonal music, and it is considered the most dissonant when sounded harmonically.",1
188,88,0.0,"yes , they are bed bugs - they are dead skin cells .",bed bugs,Dead skin cells are what?,[CLS],"Dust mites are microscopic arachnids whose primary food is dead human skin cells, but they do not live on living people.",1
189,88,0.0,"yes , they are bed bugs - they are dead skin cells .",dead skin cells,Bed bugs are what?,[CLS],"Dust mites are microscopic arachnids whose primary food is dead human skin cells, but they do not live on living people.",1
190,89,-1.0,no i don ' t have a favorite song but i do like their first album called love me me do .,NO_Q,NO_Q,NO_Q,"Manager Brian Epstein moulded them into a professional act, and producer George Martin guided and developed their recordings, greatly expanding the group's popularity in the United Kingdom after their first hit, ""Love Me Do"", in late 1962.",1
191,90,0.0,it ' s set in an airstrip in a country called great britain .,great britain,What is the name of the country in which the film is set?,[CLS],"The novel is set in Airstrip One, formerly Great Britain, a province of the superstate Oceania, whose residents are victims of perpetual war, omnipresent government surveillance and public manipulation.",1
192,90,0.0,it ' s set in an airstrip in a country called great britain .,an airstrip,What is the location of Great Britain?,oceania,"The novel is set in Airstrip One, formerly Great Britain, a province of the superstate Oceania, whose residents are victims of perpetual war, omnipresent government surveillance and public manipulation.",1
193,90,0.0,it ' s set in an airstrip in a country called great britain .,a country,What is great britain?,a province of the superstate oceania,"The novel is set in Airstrip One, formerly Great Britain, a province of the superstate Oceania, whose residents are victims of perpetual war, omnipresent government surveillance and public manipulation.",1
194,91,0.0,the catholic school is a parody of the school .,the catholic school,What is a parody of the school?,[CLS],Catholic schools are parochial schools or education ministries of the Catholic Church.,1
195,91,0.0,the catholic school is a parody of the school .,the school,The catholic school is a parody of what?,[CLS],Catholic schools are parochial schools or education ministries of the Catholic Church.,1
196,92,0.0,parrots are the most common type of bird . they are found all over the world .,parrots,What is the most common type of bird?,[CLS],"Parrots, also known as psittacines , are birds of the roughly 393 species in 92 genera that make up the order Psittaciformes, found in most tropical and subtropical regions.",1
197,92,0.0,parrots are the most common type of bird . they are found all over the world .,bird,What are parrots the most common type of?,[CLS],"Parrots, also known as psittacines , are birds of the roughly 393 species in 92 genera that make up the order Psittaciformes, found in most tropical and subtropical regions.",1
198,92,0.0,parrots are the most common type of bird . they are found all over the world .,the world,Parrots are found all over what?,[CLS],"Parrots, also known as psittacines , are birds of the roughly 393 species in 92 genera that make up the order Psittaciformes, found in most tropical and subtropical regions.",1
199,93,0.0,i didn ' t know that . i know that tolkien has adapted orcs into other games like dungeons and dragons and warhammer .,tolkien,Who adapted orcs into other games?,[CLS],"Tolkien's concept of orcs has subsequently been adapted and imported into other works of fantasy fiction as well as role-playing and strategy games (such as ""Dungeons & Dragons"", ""Warhammer"", and ""Warcraft""), broadening the recognition of the creatures in popular culture.",1
200,93,1.0,i didn ' t know that . i know that tolkien has adapted orcs into other games like dungeons and dragons and warhammer .,orcs,Tolkien has adapted what animal into other games?,orcs,"Tolkien's concept of orcs has subsequently been adapted and imported into other works of fantasy fiction as well as role-playing and strategy games (such as ""Dungeons & Dragons"", ""Warhammer"", and ""Warcraft""), broadening the recognition of the creatures in popular culture.",1
201,93,0.2857142857142857,i didn ' t know that . i know that tolkien has adapted orcs into other games like dungeons and dragons and warhammer .,other games,Tolkien has adapted orcs to what?,other works of fantasy fiction as well as role-playing and strategy games,"Tolkien's concept of orcs has subsequently been adapted and imported into other works of fantasy fiction as well as role-playing and strategy games (such as ""Dungeons & Dragons"", ""Warhammer"", and ""Warcraft""), broadening the recognition of the creatures in popular culture.",1
202,93,0.0,i didn ' t know that . i know that tolkien has adapted orcs into other games like dungeons and dragons and warhammer .,dragons,Tolkien has adapted orcs into games like warhammer and dungeons?,,"Tolkien's concept of orcs has subsequently been adapted and imported into other works of fantasy fiction as well as role-playing and strategy games (such as ""Dungeons & Dragons"", ""Warhammer"", and ""Warcraft""), broadening the recognition of the creatures in popular culture.",1
203,93,0.0,i didn ' t know that . i know that tolkien has adapted orcs into other games like dungeons and dragons and warhammer .,warhammer,What game did tolkien adapt orcs to?,[CLS],"Tolkien's concept of orcs has subsequently been adapted and imported into other works of fantasy fiction as well as role-playing and strategy games (such as ""Dungeons & Dragons"", ""Warhammer"", and ""Warcraft""), broadening the recognition of the creatures in popular culture.",1
204,94,0.0,"i ' m not sure , but they share the bulk with chile and bolivia .",bolivia,Along with chile and what other country do they share a large share?,southern cone,"Sharing the bulk of the Southern Cone with its neighbor Chile to the west, the country is also bordered by Bolivia and Paraguay to the north, Brazil to the northeast, Uruguay and the South Atlantic Ocean to the east, and the Drake Passage to the south.",1
205,94,0.4,"i ' m not sure , but they share the bulk with chile and bolivia .",the bulk,What do they share with chile?,the bulk of the southern cone,"Sharing the bulk of the Southern Cone with its neighbor Chile to the west, the country is also bordered by Bolivia and Paraguay to the north, Brazil to the northeast, Uruguay and the South Atlantic Ocean to the east, and the Drake Passage to the south.",1
206,94,0.0,"i ' m not sure , but they share the bulk with chile and bolivia .",chile,"Along with bolivia, what other country shares the bulk of the population?",[CLS],"Sharing the bulk of the Southern Cone with its neighbor Chile to the west, the country is also bordered by Bolivia and Paraguay to the north, Brazil to the northeast, Uruguay and the South Atlantic Ocean to the east, and the Drake Passage to the south.",1
207,95,0.0,"it is divided into two provinces , provincia and buenos aires .",two,How many provinces are there?,twenty-three,"It is subdivided into twenty-three provinces (, singular ""provincia"") and one autonomous city (""ciudad autónoma""), Buenos Aires, which is the federal capital of the nation () as decided by Congress.",1
208,95,0.0,"it is divided into two provinces , provincia and buenos aires .",provincia,"Along with buenos aires, what is the other province?",[CLS],"It is subdivided into twenty-three provinces (, singular ""provincia"") and one autonomous city (""ciudad autónoma""), Buenos Aires, which is the federal capital of the nation () as decided by Congress.",1
209,95,0.0,"it is divided into two provinces , provincia and buenos aires .",buenos aires,Provincia and what are the two provinces?,[CLS],"It is subdivided into twenty-three provinces (, singular ""provincia"") and one autonomous city (""ciudad autónoma""), Buenos Aires, which is the federal capital of the nation () as decided by Congress.",1
210,96,0.0,i like the original xbox . it was first offered by atari jaguar .,the original xbox,What did atari jaguar offer?,[CLS],That original device was the first video game console offered by an American company after the Atari Jaguar stopped sales in 1996.,1
211,96,0.0,i like the original xbox . it was first offered by atari jaguar .,atari jaguar,Who first offered the original xbox?,[CLS],That original device was the first video game console offered by an American company after the Atari Jaguar stopped sales in 1996.,1
212,97,0.6666666666666666,"their third single , human clay , was released in april of 2000 .",april of 2000,When was their third single released?,"april 24, 2000","It was released on April 24, 2000 as the third single from their second studio album, ""Human Clay"".",1
213,97,1.0,"their third single , human clay , was released in april of 2000 .",human clay,What was the name of the band's third single?,"""human clay"".","It was released on April 24, 2000 as the third single from their second studio album, ""Human Clay"".",1
214,98,0.0,"yes , i love pit bulls . they are the most common breed of dogs .",pit bulls,What is the most common breed of dog?,[CLS],Pit bull is the common name for a type of dog.,1
215,98,0.0,"yes , i love pit bulls . they are the most common breed of dogs .",dogs,Pit bulls are the most common breed of what?,dog,Pit bull is the common name for a type of dog.,1
216,99,0.0,it ' s a tv series based on the novels,it,What is the name of the tv series based on the novels?,[CLS],The Chronicles of Thomas Covenant is a series of ten high fantasy novels written by American author Stephen R. Donaldson.,1
217,99,0.0,it ' s a tv series based on the novels,a tv series,What type of show is it based on?,[CLS],The Chronicles of Thomas Covenant is a series of ten high fantasy novels written by American author Stephen R. Donaldson.,1
218,99,0.0,it ' s a tv series based on the novels,the novels,What is the tv series based on?,[CLS],The Chronicles of Thomas Covenant is a series of ten high fantasy novels written by American author Stephen R. Donaldson.,1
219,100,0.18181818181818182,do you like gossip ? gossip is gossip about personal affairs .,gossip,What is the term for gossip about personal affairs?,[CLS] what is the term for gossip about personal affairs?[SEP] gossip,"Gossip is idle talk or rumor, especially about the personal or private affairs of others; the act is also known as dishing or tattling.",1
220,100,0.5,do you like gossip ? gossip is gossip about personal affairs .,personal affairs,What is gossip about?,the personal or private affairs of others,"Gossip is idle talk or rumor, especially about the personal or private affairs of others; the act is also known as dishing or tattling.",1
221,101,1.0,he wrote two novels called jill and a girl .,two,How many novels did he write?,two,"His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).",1
222,101,0.0,he wrote two novels called jill and a girl .,he,Who wrote two novels called jill and a girl?,[CLS],"His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).",1
223,101,1.0,he wrote two novels called jill and a girl .,jill,"Along with a girl, what was the name of the other novel that he wrote?","""jill""","His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).",1
224,101,0.6666666666666666,he wrote two novels called jill and a girl .,a girl,"Along with jill, what other novel did he write?","""a girl in winter""","His first book of poetry, ""The North Ship"", was published in 1945, followed by two novels, ""Jill"" (1946) and ""A Girl in Winter"" (1947), and he came to prominence in 1955 with the publication of his second collection of poems, ""The Less Deceived"", followed by ""The Whitsun Weddings"" (1964) and ""High Windows"" (1974).",1
225,102,0.3333333333333333,yeah he did ! he won mr universe title seven times !,mr universe title,What did he win seven times?,mr. olympia contest,"He won the Mr. Universe title at age 20 and went on to win the Mr. Olympia contest seven times, remaining a prominent presence in bodybuilding and writing many books and articles on the sport.",1
226,103,0.0,well it is home to about 2 - 3 % of its population,2 - 3 %,What percentage of the city's population is there?,two-thirds,Reykjavík and the surrounding areas in the southwest of the country are home to over two-thirds of the population.,1
227,104,0.0,i ' m not sure about that but i do know that they are reliant on vulnerable species !,vulnerable species,What are they reliant on?,conservation,The giant panda is a conservation reliant vulnerable species.,1
228,105,0.0,"purple haze , purple haze and wind cry mary !",purple haze,"Along with wind cry mary and purple haze, what else is there?","""hey joe"",","Within months, Hendrix had earned three UK top ten hits with the Jimi Hendrix Experience: ""Hey Joe"", ""Purple Haze"", and ""The Wind Cries Mary"".",1
229,105,1.0,"purple haze , purple haze and wind cry mary !",wind,"Along with purple haze and cry mary, what type of weather is there?","""the wind","Within months, Hendrix had earned three UK top ten hits with the Jimi Hendrix Experience: ""Hey Joe"", ""Purple Haze"", and ""The Wind Cries Mary"".",1
230,106,0.0,"i ' m not sure , but i do know that purple haze was his most popular hit .",purple haze,What was his most popular hit?,"""the wind cries mary""","Within months, Hendrix had earned three UK top ten hits with the Jimi Hendrix Experience: ""Hey Joe"", ""Purple Haze"", and ""The Wind Cries Mary"".",1
231,106,0.0,"i ' m not sure , but i do know that purple haze was his most popular hit .",his most popular hit,What is purple haze?,[CLS],"Within months, Hendrix had earned three UK top ten hits with the Jimi Hendrix Experience: ""Hey Joe"", ""Purple Haze"", and ""The Wind Cries Mary"".",1
232,107,0.0,star wars is one of my favorite movies . it was retitled in 1977,1977,In what year was star wars renamed?,[CLS],Star Wars (later retitled Star Wars: Episode IV – A New Hope) is a 1977 American epic space opera film written and directed by George Lucas.,1
233,107,1.0,star wars is one of my favorite movies . it was retitled in 1977,star wars,What movie was renamed in 1977?,star wars,Star Wars (later retitled Star Wars: Episode IV – A New Hope) is a 1977 American epic space opera film written and directed by George Lucas.,1
234,107,0.0,star wars is one of my favorite movies . it was retitled in 1977,my favorite movies,What is star wars one of?,space opera film,Star Wars (later retitled Star Wars: Episode IV – A New Hope) is a 1977 American epic space opera film written and directed by George Lucas.,1
235,108,0.0,"well , if you ' re interested in the history of the city , you might want to check out the museum of history , which is a museum about human occupation .",the history,What is the museum of?,[CLS],"The oldest traces of human occupation in Paris, discovered in 2008 near the Rue Henri-Farman in the 15th arrondissement, are human bones and evidence of an encampment of hunter-gatherers dating from about 8000 BC, during the Mesolithic period.",1
236,108,0.0,"well , if you ' re interested in the history of the city , you might want to check out the museum of history , which is a museum about human occupation .",history,The museum of what is a museum about human occupation?,[CLS],"The oldest traces of human occupation in Paris, discovered in 2008 near the Rue Henri-Farman in the 15th arrondissement, are human bones and evidence of an encampment of hunter-gatherers dating from about 8000 BC, during the Mesolithic period.",1
237,108,0.0,"well , if you ' re interested in the history of the city , you might want to check out the museum of history , which is a museum about human occupation .",human occupation,What is the museum of history about?,[CLS],"The oldest traces of human occupation in Paris, discovered in 2008 near the Rue Henri-Farman in the 15th arrondissement, are human bones and evidence of an encampment of hunter-gatherers dating from about 8000 BC, during the Mesolithic period.",1
238,109,0.5,that ' s funny . the first animated series was in 1966 .,1966,When was the first animated series released?,"april 1, 1966","It was originally broadcast from September 30, 1960, to April 1, 1966, in a prime time schedule, the first such instance for an animated series.",1
239,110,0.0,"yes , it is a bit of a catch - up , but it is worth it . khal is a very powerful khal .",a catch - up,What is khal a bit of?,warlord,"Drogo is a powerful ""khal"", or warlord, of the Dothraki people, a tribal nation of horse riders in the steppes beyond the Free Cities.",1
240,110,0.0,"yes , it is a bit of a catch - up , but it is worth it . khal is a very powerful khal .",khal,What is a very powerful khal?,drogo,"Drogo is a powerful ""khal"", or warlord, of the Dothraki people, a tribal nation of horse riders in the steppes beyond the Free Cities.",1
241,110,0.0,"yes , it is a bit of a catch - up , but it is worth it . khal is a very powerful khal .",a very powerful khal,What is khal?,warlord,"Drogo is a powerful ""khal"", or warlord, of the Dothraki people, a tribal nation of horse riders in the steppes beyond the Free Cities.",1
242,111,0.0,"i ' m not sure , but i do know that race horses have been around since the early 1800 ' s .",the early 1800 ' s,Since when have race horses been around?,the earliest times,It is one of the most ancient of all sports and its basic premise – to identify which of two or more horses is the fastest over a set course or distance – has remained unchanged since the earliest times.,1
243,111,0.0,"i ' m not sure , but i do know that race horses have been around since the early 1800 ' s .",race horses,What type of horse has been around since the early 1800's?,[CLS],It is one of the most ancient of all sports and its basic premise – to identify which of two or more horses is the fastest over a set course or distance – has remained unchanged since the earliest times.,1
244,112,-1.0,"i love women too . my favorite song is "" x factor . """,NO_Q,NO_Q,NO_Q,"The group signed with Simon Cowell's record label Syco Records after forming and finishing third in the seventh series of the British televised singing competition ""The X Factor"" in 2010.",1
245,113,0.0,"i ' m not sure if it ' s a desert , but i do know that it ranks in the top 5 most visited places in the world .",5,How many most visited places in the world are there?,[CLS],"Today, Las Vegas annually ranks as one of the world's most visited tourist destinations.",1
246,113,0.0,"i ' m not sure if it ' s a desert , but i do know that it ranks in the top 5 most visited places in the world .",the world,It ranks in the top 5 most visited places in what world?,[CLS],"Today, Las Vegas annually ranks as one of the world's most visited tourist destinations.",1
247,114,0.0,"i love shellfish , but most kinds aren ' t harvested",most kinds,What kind of shellfish aren't harvested?,[CLS],"Although most kinds of shellfish are harvested from saltwater environments, some kinds are found in freshwater.",1
248,115,0.0,"yea i remember seeing it when it came out in 1997 , james cameron was inspired by shipwreck movies .",1997,When did shipwreck come out?,[CLS],Cameron's inspiration for the film came from his fascination with shipwrecks; he felt a love story interspersed with the human loss would be essential to convey the emotional impact of the disaster.,1
249,115,0.0,"yea i remember seeing it when it came out in 1997 , james cameron was inspired by shipwreck movies .",james cameron,Who was inspired by shipwreck movies?,[CLS],Cameron's inspiration for the film came from his fascination with shipwrecks; he felt a love story interspersed with the human loss would be essential to convey the emotional impact of the disaster.,1
250,115,0.0,"yea i remember seeing it when it came out in 1997 , james cameron was inspired by shipwreck movies .",shipwreck movies,What was james cameron inspired by?,his fascination with shipwrecks,Cameron's inspiration for the film came from his fascination with shipwrecks; he felt a love story interspersed with the human loss would be essential to convey the emotional impact of the disaster.,1
251,116,0.4444444444444445,its a team based online first person shooter game . you play as tracer and genji .,online first person shooter game,What type of game is it?,first-person shooter video game,Overwatch is a team-based multiplayer online first-person shooter video game developed and published by Blizzard Entertainment.,1
252,116,0.0,its a team based online first person shooter game . you play as tracer and genji .,you,Who plays as tracer and genji?,[CLS],Overwatch is a team-based multiplayer online first-person shooter video game developed and published by Blizzard Entertainment.,1
253,116,0.0,its a team based online first person shooter game . you play as tracer and genji .,tracer,What is the name of the character in the game?,[CLS],Overwatch is a team-based multiplayer online first-person shooter video game developed and published by Blizzard Entertainment.,1
254,116,0.0,its a team based online first person shooter game . you play as tracer and genji .,genji,"Along with tracer, what character is in the game?",[CLS],Overwatch is a team-based multiplayer online first-person shooter video game developed and published by Blizzard Entertainment.,1
255,117,1.0,sort of . overwatch can be played either as a team of six or as a hero .,six,How many players can be in a team?,six,"""Overwatch"" assigns players into two teams of six, with each player selecting from a roster of over 20 characters, known in-game as ""heroes"", each with a unique style of play, whose roles are divided into four general categories: Offense, Defense, Tank, and Support.",1
256,117,1.0,sort of . overwatch can be played either as a team of six or as a hero .,overwatch,What game can be played as a team of six or a hero?,"""overwatch""","""Overwatch"" assigns players into two teams of six, with each player selecting from a roster of over 20 characters, known in-game as ""heroes"", each with a unique style of play, whose roles are divided into four general categories: Offense, Defense, Tank, and Support.",1
257,117,0.0,sort of . overwatch can be played either as a team of six or as a hero .,a hero,Overwatch can be played as a team of six or as what?,,"""Overwatch"" assigns players into two teams of six, with each player selecting from a roster of over 20 characters, known in-game as ""heroes"", each with a unique style of play, whose roles are divided into four general categories: Offense, Defense, Tank, and Support.",1
258,118,0.0,"yes it can be very dangerous , especially for hydroelectric plants",hydroelectric plants,What type of plants can be particularly dangerous?,[CLS],"It provides suitable conditions for many types of ecosystems, as well as water for hydroelectric power plants and crop irrigation.",1
259,119,0.0,it is very popular in italy and copied from other countries,italy,It is very popular in what country?,[CLS],"It offers an abundance of taste, and is one of the most popular and copied in the world.",1
260,119,0.0,it is very popular in italy and copied from other countries,other countries,Where is it copied from?,[CLS],"It offers an abundance of taste, and is one of the most popular and copied in the world.",1
261,120,0.0,that makes sense . they were originally marketed to be affordable but now they are intended to be used for a single user .,they,What were originally marketed to be affordable but now are intended for a single user?,computers,"They were marketed to consumers as affordable and accessible computers that, for the first time, were intended for the use of a single nontechnical user.",1
262,121,0.8571428571428571,"i ' m not sure who it was founded by , but it was started by richard maurice mcdonald .",richard maurice mcdonald,Who was it founded by?,richard and maurice mcdonald,"McDonald's is a fast food company that was founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States.",1
263,122,0.0,you should avoid fats instead of carbs .,you,Who should avoid fats?,[CLS],The diet forces the body to burn fats rather than carbohydrates.,1
264,122,0.0,you should avoid fats instead of carbs .,fats,What are you supposed to avoid?,carbohydrates,The diet forces the body to burn fats rather than carbohydrates.,1
265,123,0.0,there are a lot of species that eat animals like carrion and lories .,species,There are a lot of what that eat animals?,[CLS],"A few species sometimes eat animals and carrion, while the lories and lorikeets are specialised for feeding on floral nectar and soft fruits.",1
266,123,0.0,there are a lot of species that eat animals like carrion and lories .,animals,Carrion and lories are examples of what type of food?,[CLS],"A few species sometimes eat animals and carrion, while the lories and lorikeets are specialised for feeding on floral nectar and soft fruits.",1
267,123,0.0,there are a lot of species that eat animals like carrion and lories .,carrion,"Along with lories, what is an example of an animal that eats?",lorikeets,"A few species sometimes eat animals and carrion, while the lories and lorikeets are specialised for feeding on floral nectar and soft fruits.",1
268,123,0.0,there are a lot of species that eat animals like carrion and lories .,lories,"Along with carrion, what other species eats animals?",[CLS],"A few species sometimes eat animals and carrion, while the lories and lorikeets are specialised for feeding on floral nectar and soft fruits.",1
269,124,0.0,i agree . i think their most popular song is jenny .,their most popular song,What song is jenny?,"""jenny was a friend of mine""","Despite not being a single, ""Jenny Was a Friend of Mine"" is one of The Killers' most popular and critically acclaimed songs.",1
270,124,0.33333333333333337,i agree . i think their most popular song is jenny .,jenny,What is the most popular song of the band?,"""jenny was a friend of mine""","Despite not being a single, ""Jenny Was a Friend of Mine"" is one of The Killers' most popular and critically acclaimed songs.",1
271,125,0.0,that makes sense . honda is also the 8th largest auto manufacturer in japan .,honda,What is the 8th largest auto manufacturer in japan?,[CLS],"Honda was the eighth largest automobile manufacturer in the world behind Toyota, Volkswagen Group, Hyundai Motor Group, General Motors, Ford, Nissan, and Fiat Chrysler Automobiles in 2015.",1
272,125,0.0,that makes sense . honda is also the 8th largest auto manufacturer in japan .,8th,Where does honda rank as the largest auto manufacturer in japan?,[CLS],"Honda was the eighth largest automobile manufacturer in the world behind Toyota, Volkswagen Group, Hyundai Motor Group, General Motors, Ford, Nissan, and Fiat Chrysler Automobiles in 2015.",1
273,125,0.0,that makes sense . honda is also the 8th largest auto manufacturer in japan .,japan,Where is honda the 8th largest auto manufacturer?,the world,"Honda was the eighth largest automobile manufacturer in the world behind Toyota, Volkswagen Group, Hyundai Motor Group, General Motors, Ford, Nissan, and Fiat Chrysler Automobiles in 2015.",1
274,126,0.0,"yes , they do . they are headquartered in brazil , argentina , and brazil .",brazil,In what country are they headquartered?,[CLS],"It has wholly owned operations in Argentina, Chile, Brazil, and Canada.",1
275,126,0.0,"yes , they do . they are headquartered in brazil , argentina , and brazil .",argentina,"Along with brazil, what country is it headquartered in?",,"It has wholly owned operations in Argentina, Chile, Brazil, and Canada.",1
276,126,0.0,"yes , they do . they are headquartered in brazil , argentina , and brazil .",brazil,In what country are they headquartered?,[CLS],"It has wholly owned operations in Argentina, Chile, Brazil, and Canada.",1
277,127,0.0,"i ' m not sure if you ' ve ever seen the 1974 movie , the godfather , or the 2006 movie .",1974,When was the godfather released?,2006,"The game is based on the 1974 film ""The Godfather Part II"", and is a sequel to the 2006 game ""The Godfather"", which was based on the 1972 film of the same name.",1
278,127,0.0,"i ' m not sure if you ' ve ever seen the 1974 movie , the godfather , or the 2006 movie .",the 1974 movie,What was the godfather?,[CLS],"The game is based on the 1974 film ""The Godfather Part II"", and is a sequel to the 2006 game ""The Godfather"", which was based on the 1972 film of the same name.",1
